"Path 1","Path 2","URLs","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","Meta Keywords 2","Meta Keywords 2 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https/","","12077","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","moonbeam.network/","628","https://moonbeam.network/","text/html; charset=utf-8","200","OK","Indexable","","Moonbeam | Cross-Chain Connected Smart Contract Platform","56","551","Moonbeam is a smart contract platform for building cross-chain connected applications — enabling users to interact with multiple blockchains at the same time.","158","986","","0","","0","The Future is Multi-Chain","25","","0","The Easiest Path to Multi-Chain","31","A Fully Ethereum-Compatible","27","max-snippet:-1,max-image-preview:standard,max-video-preview:-1","","","https://moonbeam.network/","","","","","","112389","864","216","4.000","66.279","Normal","5.653","0","","1189","1032","0","13.980","113","44","0","63","28","0","","","","","f6859c597676af803e0cca3ec013045a","0.022","Fri, 06 Jan 2023 20:21:22 GMT","","","","1.1","https://moonbeam.network/","2023-01-11 00:41:39"
"","docs.moonbeam.network/","554","https://docs.moonbeam.network/","text/html; charset=utf-8","200","OK","Indexable","","Moonbeam Docs","13","150","Dive into the tools, integrations, and comprehensive tutorials to start using and building on Moonbeam, an Ethereum-compatible parachain on Polkadot.","149","937","","0","","0","Moonbeam Network Resources & Documentation","42","","0","Building on Moonbeam","20","Operating a Node","16","","","","https://docs.moonbeam.network/","","","","","","138419","222","36","6.167","59.957","Fairly Hard","3.621","1","","3947","830","0","11.240","256","181","0","9","9","0","","","","","468e1becaeba98122528437cbfa49278","0.020","Mon, 09 Jan 2023 20:57:12 GMT","","","","1.1","https://docs.moonbeam.network/","2023-01-11 00:41:44"
"","academy.moonbeam.network/","61","https://academy.moonbeam.network/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Moonbuilders Academy | Homepage | Moonbuilders Academy","54","546","Learn how to build Web3 cross-chain applications on Moonbeam.","61","404","","0","","0","Moonbuilders Academy","20","","0","","0","","0","","","","https://academy.moonbeam.network/p/home","","","","","","45037","255","43","5.930","33.606","Hard","4.497","1","","1945","651","0","8.820","16","14","0","2","2","0","","","","","ee51ee5d2cb799abb0c441f2b87f4dda","0.299","","","","","1.1","https://academy.moonbeam.network/","2023-01-11 00:41:40"
"","apps.moonbeam.network/","9","https://apps.moonbeam.network/","text/html","200","OK","Indexable","","Moonbeam Network Apps","21","231","Moonbeam Network Apps","21","162","","0","","0","","0","","0","","0","","0","","","","","","","","","","1102","0","","","","","4.232","1","","2585","653","0","8.840","0","0","0","0","0","0","","","","","378d010e0e87862e7801ab23f35ec8f7","0.647","Tue, 27 Dec 2022 19:01:55 GMT","","","","1.1","https://apps.moonbeam.network/","2023-01-11 00:41:42"
"","academy.china.moonbeam.network/","129","https://academy.china.moonbeam.network/","text/html; charset=utf-8","200","OK","Indexable","","Moonbeam China","14","157","","0","0","","0","","0","","0","","0","","0","","0","","","","https://academy.china.moonbeam.network/","","","","","","25630","114","56","2.036","100.000","Very Easy","2.336","1","","1320","674","0","9.130","35","34","0","1","1","0","","","","","453f4c8143e03f8dda387dcc7b8fe710","0.349","","","","","1.1","https://academy.china.moonbeam.network/","2023-01-11 00:41:44"
"","blockscout.moonbeam.network/","9","https://blockscout.moonbeam.network/","text/html; charset=utf-8","200","OK","Indexable","","Moonbeam Moonbeam Explorer","26","285","BlockScout provides analytics data, API, and Smart Contract tools for Moonbeam","78","503","BlockScout, blockchain, api, analytics, address, smart contract","63","","0","","0","","0","Blocks","6","Transactions","12","","","","","","","","","","44807","29","11","2.636","87.469","Easy","3.207","2","","12138","6062","0","82.110","23","11","0","17","12","0","","","","","783bb8bdf07dd6c850bc8fdd3a70eb85","0.225","","","","","1.1","https://blockscout.moonbeam.network/","2023-01-11 00:41:46"
"","moonbase-blockscout.testnet.moonbeam.network/","9","https://moonbase-blockscout.testnet.moonbeam.network/","text/html; charset=utf-8","200","OK","Indexable","","Moonbase Moonbeam Explorer","26","277","BlockScout provides analytics data, API, and Smart Contract tools for Moonbase","78","498","BlockScout, blockchain, api, analytics, address, smart contract","63","","0","","0","","0","Blocks","6","Transactions","12","","","","","","","","","","44806","29","12","2.417","87.692","Easy","3.207","2","","12137","6062","0","82.110","23","11","0","17","12","0","","","","","8a27967bdf2d920b141ebeabf9555740","0.236","","","","","1.1","https://moonbase-blockscout.testnet.moonbeam.network/","2023-01-11 00:42:10"
"","blockscout.moonriver.moonbeam.network/","10669","https://blockscout.moonriver.moonbeam.network/","text/html; charset=utf-8","200","OK","Indexable","","Moonriver Moonbeam Explorer","27","274","BlockScout provides analytics data, API, and Smart Contract tools for Moonriver","79","495","BlockScout, blockchain, api, analytics, address, smart contract","63","","0","","0","","0","Blocks","6","Transactions","12","","","","","","","","","","44814","29","12","2.417","87.692","Easy","3.210","2","","24200","6063","0","82.120","23","11","0","17","12","0","","","","","52575b2d41f2b761231a6e8971dcf31","0.144","","","","","1.1","https://blockscout.moonriver.moonbeam.network/","2023-01-11 00:43:19"
"","request.moonbeam.network/","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","multisig.moonbeam.network/","6","https://multisig.moonbeam.network/","text/html","200","OK","Indexable","","Moonbeam Safe","13","147","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","7505","0","","","","","0.000","3","","2","2","0","0.030","0","0","0","0","0","0","","","","","5a813076830b95850383aa52be274f89","0.299","Thu, 15 Dec 2022 01:18:13 GMT","","","","1.1","https://multisig.moonbeam.network/","2023-01-11 00:43:46"
"","moonbeam.network//","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rpc.api.moonbeam.network/","1","https://rpc.api.moonbeam.network/","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","","","","","0.000","4","","1","1","0","0.010","0","0","0","0","0","0","","","","","","0.060","","","","","1.1","https://rpc.api.moonbeam.network/","2023-01-11 00:48:11"
"http/","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
